date,ward_code,ward_name,crime_type,severity,ipc_section
2020-07-16,H/E,Bandra East,Chain Snatching,Low,IPC 437
2020-07-16,E,Byculla,Assault,Low,IPC 500
2020-07-16,G/N,Dharavi,Cyber Fraud,Medium,IPC 355
2020-07-17,H/E,Bandra East,Assault,Medium,IPC 487
2020-07-17,H/E,Bandra East,Burglary,Low,IPC 309
2020-07-17,M/E,Govandi,Cyber Fraud,Low,IPC 485
2020-07-17,H/E,Bandra East,Assault,High,IPC 384
2020-07-17,A,Colaba/Fort,Extortion,High,IPC 332
2020-07-17,G/N,Dharavi,Burglary,Low,IPC 337
2020-07-17,D,Malabar Hill,Theft,Low,IPC 375
2020-07-17,F/N,Matunga,Extortion,Low,IPC 431
2020-07-17,H/E,Bandra East,Extortion,Medium,IPC 438
2020-07-17,D,Malabar Hill,Chain Snatching,Medium,IPC 450
2020-07-17,E,Byculla,Cyber Fraud,Medium,IPC 470
2020-07-17,L,Kurla,Theft,Low,IPC 371
2020-07-18,R/C,Borivali,Chain Snatching,Low,IPC 339
2020-07-18,E,Byculla,Cyber Fraud,Medium,IPC 420
2020-07-18,L,Kurla,Theft,Medium,IPC 440
2020-07-18,A,Colaba/Fort,Chain Snatching,Medium,IPC 454
2020-07-18,L,Kurla,Assault,Medium,IPC 426
2020-07-18,N,Ghatkopar,Extortion,Low,IPC 382
2020-07-18,R/C,Borivali,Assault,High,IPC 472
2020-07-18,R/C,Borivali,Assault,Medium,IPC 364
2020-07-18,K/W,Andheri West,Extortion,Low,IPC 346
2020-07-18,D,Malabar Hill,Chain Snatching,Medium,IPC 473
2020-07-18,F/N,Matunga,Assault,Medium,IPC 492
2020-07-18,H/E,Bandra East,Chain Snatching,High,IPC 494
2020-07-18,F/N,Matunga,Assault,Medium,IPC 402
2020-07-18,H/E,Bandra East,Extortion,Medium,IPC 305
2020-07-18,G/N,Dharavi,Chain Snatching,Medium,IPC 422
2020-07-18,M/E,Govandi,Chain Snatching,High,IPC 459
2020-07-18,L,Kurla,Theft,High,IPC 439
2020-07-18,K/W,Andheri West,Cyber Fraud,Low,IPC 309
2020-07-18,L,Kurla,Burglary,Low,IPC 438
2020-07-18,G/N,Dharavi,Chain Snatching,Low,IPC 446
2020-07-18,E,Byculla,Assault,High,IPC 381
2020-07-18,K/W,Andheri West,Chain Snatching,High,IPC 487
2020-07-18,L,Kurla,Assault,Medium,IPC 310
2020-07-18,A,Colaba/Fort,Cyber Fraud,Low,IPC 421
2020-07-19,M/E,Govandi,Assault,Medium,IPC 372
2020-07-19,A,Colaba/Fort,Chain Snatching,Low,IPC 319
2020-07-19,N,Ghatkopar,Chain Snatching,Low,IPC 465
2020-07-19,A,Colaba/Fort,Chain Snatching,High,IPC 431
2020-07-19,M/E,Govandi,Burglary,Low,IPC 359
2020-07-19,G/N,Dharavi,Assault,Medium,IPC 347
2020-07-19,F/N,Matunga,Cyber Fraud,High,IPC 352
2020-07-19,M/E,Govandi,Theft,High,IPC 369
2020-07-19,A,Colaba/Fort,Burglary,Low,IPC 435
2020-07-19,F/N,Matunga,Assault,Medium,IPC 492
2020-07-19,L,Kurla,Cyber Fraud,Medium,IPC 305
2020-07-19,G/N,Dharavi,Theft,Medium,IPC 403
2020-07-19,H/E,Bandra East,Chain Snatching,Low,IPC 361
2020-07-19,R/C,Borivali,Theft,Medium,IPC 334
2020-07-19,R/C,Borivali,Chain Snatching,Medium,IPC 433
2020-07-19,R/C,Borivali,Burglary,High,IPC 422
2020-07-19,G/N,Dharavi,Theft,High,IPC 371
2020-07-19,N,Ghatkopar,Theft,Low,IPC 394
2020-07-19,F/N,Matunga,Assault,High,IPC 409
2020-07-19,L,Kurla,Cyber Fraud,Low,IPC 403
2020-07-19,M/E,Govandi,Chain Snatching,Medium,IPC 471
2020-07-19,A,Colaba/Fort,Extortion,High,IPC 410
2020-07-19,K/W,Andheri West,Theft,High,IPC 465
2020-07-19,E,Byculla,Chain Snatching,Low,IPC 423
2020-07-20,K/W,Andheri West,Assault,Low,IPC 319
2020-07-20,M/E,Govandi,Burglary,High,IPC 382
2020-07-20,M/E,Govandi,Theft,Low,IPC 363
2020-07-20,H/E,Bandra East,Burglary,Low,IPC 306
2020-07-20,F/N,Matunga,Burglary,Medium,IPC 495
2020-07-20,R/C,Borivali,Chain Snatching,High,IPC 403
2020-07-20,D,Malabar Hill,Chain Snatching,High,IPC 477
2020-07-20,M/E,Govandi,Theft,High,IPC 465
2020-07-20,A,Colaba/Fort,Extortion,Low,IPC 442
2020-07-20,G/N,Dharavi,Theft,Medium,IPC 377
2020-07-20,K/W,Andheri West,Assault,High,IPC 411
2020-07-20,L,Kurla,Assault,Medium,IPC 453
2020-07-20,H/E,Bandra East,Chain Snatching,High,IPC 493
2020-07-21,R/C,Borivali,Assault,Low,IPC 468
2020-07-21,M/E,Govandi,Burglary,Low,IPC 334
2020-07-21,H/E,Bandra East,Chain Snatching,Medium,IPC 426
2020-07-21,A,Colaba/Fort,Assault,Low,IPC 400
2020-07-21,R/C,Borivali,Theft,Low,IPC 355
2020-07-21,N,Ghatkopar,Cyber Fraud,High,IPC 429
2020-07-21,N,Ghatkopar,Theft,Low,IPC 446
2020-07-21,N,Ghatkopar,Assault,Medium,IPC 321
2020-07-21,N,Ghatkopar,Chain Snatching,Low,IPC 403
2020-07-21,F/N,Matunga,Theft,Low,IPC 310
2020-07-21,D,Malabar Hill,Extortion,High,IPC 363
2020-07-21,E,Byculla,Burglary,High,IPC 468
2020-07-21,A,Colaba/Fort,Cyber Fraud,High,IPC 445
2020-07-21,G/N,Dharavi,Extortion,High,IPC 381
2020-07-21,L,Kurla,Theft,Medium,IPC 407
2020-07-21,D,Malabar Hill,Burglary,Low,IPC 394
2020-07-21,F/N,Matunga,Cyber Fraud,Medium,IPC 489
2020-07-21,N,Ghatkopar,Cyber Fraud,Medium,IPC 404
2020-07-22,A,Colaba/Fort,Assault,Medium,IPC 317
2020-07-22,N,Ghatkopar,Burglary,Low,IPC 432
2020-07-22,R/C,Borivali,Cyber Fraud,Medium,IPC 301
2020-07-22,N,Ghatkopar,Cyber Fraud,Medium,IPC 323
2020-07-22,H/E,Bandra East,Chain Snatching,High,IPC 496
2020-07-22,A,Colaba/Fort,Cyber Fraud,Medium,IPC 434
2020-07-23,E,Byculla,Burglary,Medium,IPC 496
2020-07-23,M/E,Govandi,Extortion,High,IPC 377
2020-07-23,R/C,Borivali,Chain Snatching,High,IPC 359
2020-07-23,H/E,Bandra East,Burglary,Medium,IPC 497
2020-07-23,H/E,Bandra East,Burglary,Low,IPC 437
2020-07-23,N,Ghatkopar,Burglary,Low,IPC 477
2020-07-23,M/E,Govandi,Theft,Low,IPC 466
2020-07-23,H/E,Bandra East,Cyber Fraud,Low,IPC 367
2020-07-23,M/E,Govandi,Theft,High,IPC 396
2020-07-23,E,Byculla,Cyber Fraud,Medium,IPC 321
2020-07-23,R/C,Borivali,Cyber Fraud,Low,IPC 396
2020-07-23,L,Kurla,Burglary,Low,IPC 310
2020-07-24,K/W,Andheri West,Chain Snatching,Low,IPC 364
2020-07-24,K/W,Andheri West,Extortion,Low,IPC 499
2020-07-24,H/E,Bandra East,Cyber Fraud,Low,IPC 365
2020-07-24,G/N,Dharavi,Assault,High,IPC 344
2020-07-24,R/C,Borivali,Extortion,Low,IPC 352
2020-07-24,M/E,Govandi,Cyber Fraud,Medium,IPC 462
2020-07-25,F/N,Matunga,Chain Snatching,Medium,IPC 396
2020-07-25,E,Byculla,Extortion,Medium,IPC 301
2020-07-25,L,Kurla,Extortion,High,IPC 391
2020-07-25,G/N,Dharavi,Extortion,Low,IPC 452
2020-07-25,F/N,Matunga,Extortion,Medium,IPC 435
2020-07-25,N,Ghatkopar,Extortion,Low,IPC 311
2020-07-25,L,Kurla,Chain Snatching,Low,IPC 419
2020-07-25,L,Kurla,Theft,High,IPC 478
2020-07-25,H/E,Bandra East,Theft,Medium,IPC 370
2020-07-25,H/E,Bandra East,Cyber Fraud,Medium,IPC 342
2020-07-25,A,Colaba/Fort,Assault,Medium,IPC 412
2020-07-25,H/E,Bandra East,Extortion,High,IPC 406
2020-07-25,K/W,Andheri West,Burglary,Low,IPC 424
2020-07-25,E,Byculla,Theft,Medium,IPC 413
2020-07-25,R/C,Borivali,Chain Snatching,Low,IPC 435
2020-07-25,L,Kurla,Theft,Medium,IPC 365
2020-07-26,G/N,Dharavi,Extortion,Low,IPC 306
2020-07-26,F/N,Matunga,Assault,Medium,IPC 382
2020-07-26,G/N,Dharavi,Burglary,Low,IPC 448
2020-07-26,E,Byculla,Chain Snatching,High,IPC 335
2020-07-26,H/E,Bandra East,Burglary,Low,IPC 439
2020-07-26,N,Ghatkopar,Theft,Low,IPC 395
2020-07-26,G/N,Dharavi,Theft,Low,IPC 357
2020-07-26,A,Colaba/Fort,Assault,Low,IPC 464
2020-07-26,L,Kurla,Burglary,High,IPC 339
2020-07-26,F/N,Matunga,Chain Snatching,High,IPC 395
2020-07-26,D,Malabar Hill,Extortion,High,IPC 364
2020-07-26,M/E,Govandi,Chain Snatching,High,IPC 393
2020-07-26,H/E,Bandra East,Assault,Low,IPC 355
2020-07-26,L,Kurla,Burglary,Medium,IPC 479
2020-07-27,K/W,Andheri West,Theft,Medium,IPC 371
2020-07-27,K/W,Andheri West,Burglary,Low,IPC 445
2020-07-27,D,Malabar Hill,Assault,Low,IPC 348
2020-07-27,F/N,Matunga,Theft,High,IPC 466
2020-07-27,G/N,Dharavi,Cyber Fraud,Low,IPC 472
2020-07-27,L,Kurla,Chain Snatching,High,IPC 377
2020-07-27,E,Byculla,Chain Snatching,High,IPC 314
2020-07-27,M/E,Govandi,Assault,High,IPC 320
2020-07-27,E,Byculla,Theft,High,IPC 318
2020-07-27,K/W,Andheri West,Extortion,Medium,IPC 307
2020-07-28,G/N,Dharavi,Burglary,Medium,IPC 411
2020-07-28,N,Ghatkopar,Assault,Low,IPC 450
2020-07-28,R/C,Borivali,Cyber Fraud,Medium,IPC 416
2020-07-28,K/W,Andheri West,Chain Snatching,Low,IPC 420
2020-07-28,F/N,Matunga,Theft,Medium,IPC 378
2020-07-28,K/W,Andheri West,Burglary,Low,IPC 453
2020-07-28,A,Colaba/Fort,Chain Snatching,Medium,IPC 321
2020-07-28,M/E,Govandi,Burglary,Medium,IPC 391
2020-07-29,E,Byculla,Burglary,Low,IPC 352
2020-07-29,D,Malabar Hill,Chain Snatching,High,IPC 402
2020-07-29,M/E,Govandi,Cyber Fraud,Low,IPC 388
2020-07-29,H/E,Bandra East,Assault,Medium,IPC 336
2020-07-29,E,Byculla,Cyber Fraud,Medium,IPC 430
2020-07-29,A,Colaba/Fort,Theft,High,IPC 317
2020-07-29,A,Colaba/Fort,Assault,Medium,IPC 310
2020-07-29,L,Kurla,Theft,High,IPC 429
2020-07-29,N,Ghatkopar,Assault,Medium,IPC 332
2020-07-29,M/E,Govandi,Cyber Fraud,Medium,IPC 388
2020-07-29,G/N,Dharavi,Burglary,Medium,IPC 454
2020-07-29,M/E,Govandi,Burglary,Low,IPC 448
2020-07-29,H/E,Bandra East,Chain Snatching,Medium,IPC 325
2020-07-29,K/W,Andheri West,Theft,Medium,IPC 302
2020-07-30,D,Malabar Hill,Cyber Fraud,Low,IPC 328
2020-07-30,E,Byculla,Cyber Fraud,Low,IPC 407
2020-07-30,D,Malabar Hill,Extortion,Medium,IPC 484
2020-07-30,F/N,Matunga,Cyber Fraud,Medium,IPC 486
2020-07-30,L,Kurla,Cyber Fraud,Medium,IPC 464
2020-07-30,F/N,Matunga,Assault,Low,IPC 345
2020-07-30,N,Ghatkopar,Chain Snatching,Medium,IPC 371
2020-07-30,G/N,Dharavi,Burglary,Medium,IPC 342
2020-07-31,G/N,Dharavi,Chain Snatching,Medium,IPC 330
2020-07-31,E,Byculla,Chain Snatching,Medium,IPC 426
2020-07-31,A,Colaba/Fort,Chain Snatching,High,IPC 341
2020-07-31,H/E,Bandra East,Assault,Low,IPC 458
2020-07-31,R/C,Borivali,Chain Snatching,High,IPC 431
2020-07-31,N,Ghatkopar,Cyber Fraud,High,IPC 462
2020-07-31,F/N,Matunga,Extortion,Medium,IPC 447
2020-07-31,A,Colaba/Fort,Chain Snatching,Low,IPC 360
2020-07-31,N,Ghatkopar,Extortion,High,IPC 351
2020-07-31,K/W,Andheri West,Cyber Fraud,Medium,IPC 392
2020-07-31,E,Byculla,Extortion,Medium,IPC 412
2020-07-31,E,Byculla,Extortion,High,IPC 497
2020-07-31,M/E,Govandi,Cyber Fraud,Medium,IPC 454
2020-07-31,K/W,Andheri West,Cyber Fraud,High,IPC 454
2020-07-31,R/C,Borivali,Burglary,Low,IPC 382
2020-07-31,R/C,Borivali,Extortion,Medium,IPC 333
2020-07-31,R/C,Borivali,Assault,Low,IPC 307
2020-07-31,H/E,Bandra East,Burglary,Medium,IPC 374
2020-08-01,D,Malabar Hill,Assault,Medium,IPC 355
2020-08-01,E,Byculla,Chain Snatching,Medium,IPC 405
2020-08-01,M/E,Govandi,Chain Snatching,High,IPC 370
2020-08-01,H/E,Bandra East,Extortion,Low,IPC 304
2020-08-01,R/C,Borivali,Assault,Medium,IPC 497
2020-08-01,A,Colaba/Fort,Theft,High,IPC 423
2020-08-01,R/C,Borivali,Theft,Low,IPC 409
2020-08-01,H/E,Bandra East,Assault,Low,IPC 308
2020-08-01,G/N,Dharavi,Assault,Medium,IPC 321
2020-08-01,K/W,Andheri West,Chain Snatching,Low,IPC 453
2020-08-01,N,Ghatkopar,Theft,High,IPC 412
2020-08-01,E,Byculla,Assault,Low,IPC 389
2020-08-01,M/E,Govandi,Extortion,High,IPC 387
2020-08-01,A,Colaba/Fort,Chain Snatching,Low,IPC 430
2020-08-02,K/W,Andheri West,Cyber Fraud,Medium,IPC 419
2020-08-02,D,Malabar Hill,Chain Snatching,Medium,IPC 426
2020-08-02,E,Byculla,Chain Snatching,High,IPC 483
2020-08-02,G/N,Dharavi,Assault,Low,IPC 496
2020-08-02,H/E,Bandra East,Cyber Fraud,Low,IPC 371
2020-08-02,F/N,Matunga,Chain Snatching,Low,IPC 342
2020-08-02,F/N,Matunga,Cyber Fraud,High,IPC 405
2020-08-02,R/C,Borivali,Burglary,High,IPC 493
2020-08-02,H/E,Bandra East,Theft,Medium,IPC 414
2020-08-02,F/N,Matunga,Theft,High,IPC 497
2020-08-02,N,Ghatkopar,Theft,High,IPC 438
2020-08-03,M/E,Govandi,Extortion,Medium,IPC 407
2020-08-03,L,Kurla,Cyber Fraud,Low,IPC 375
2020-08-03,H/E,Bandra East,Extortion,Low,IPC 487
2020-08-03,A,Colaba/Fort,Theft,Low,IPC 461
2020-08-03,M/E,Govandi,Assault,Low,IPC 419
2020-08-03,K/W,Andheri West,Cyber Fraud,Low,IPC 493
2020-08-03,R/C,Borivali,Chain Snatching,Low,IPC 346
2020-08-03,N,Ghatkopar,Theft,Medium,IPC 438
2020-08-03,L,Kurla,Extortion,Low,IPC 390
2020-08-03,E,Byculla,Cyber Fraud,Low,IPC 316
2020-08-03,G/N,Dharavi,Cyber Fraud,Medium,IPC 312
2020-08-03,R/C,Borivali,Burglary,High,IPC 449
2020-08-03,H/E,Bandra East,Extortion,High,IPC 349
2020-08-03,R/C,Borivali,Chain Snatching,High,IPC 360
2020-08-03,L,Kurla,Theft,High,IPC 426
2020-08-03,L,Kurla,Cyber Fraud,Medium,IPC 418
2020-08-03,M/E,Govandi,Cyber Fraud,Medium,IPC 436
2020-08-04,K/W,Andheri West,Theft,Low,IPC 474
2020-08-04,M/E,Govandi,Burglary,High,IPC 322
2020-08-04,K/W,Andheri West,Assault,Medium,IPC 338
2020-08-04,G/N,Dharavi,Cyber Fraud,Medium,IPC 324
2020-08-04,H/E,Bandra East,Extortion,Medium,IPC 415
2020-08-04,G/N,Dharavi,Chain Snatching,Medium,IPC 467
2020-08-04,N,Ghatkopar,Extortion,Low,IPC 462
2020-08-04,K/W,Andheri West,Assault,Low,IPC 313
2020-08-04,G/N,Dharavi,Burglary,Low,IPC 418
2020-08-04,L,Kurla,Burglary,Medium,IPC 433
2020-08-04,M/E,Govandi,Assault,Medium,IPC 471
2020-08-04,N,Ghatkopar,Extortion,Low,IPC 336
2020-08-04,L,Kurla,Cyber Fraud,Medium,IPC 349
2020-08-04,F/N,Matunga,Assault,Low,IPC 310
2020-08-04,R/C,Borivali,Chain Snatching,Medium,IPC 414
2020-08-04,N,Ghatkopar,Extortion,Medium,IPC 496
2020-08-05,K/W,Andheri West,Theft,Low,IPC 495
2020-08-05,R/C,Borivali,Chain Snatching,High,IPC 490
2020-08-05,L,Kurla,Cyber Fraud,Medium,IPC 426
2020-08-05,M/E,Govandi,Chain Snatching,High,IPC 377
2020-08-05,F/N,Matunga,Extortion,High,IPC 387
2020-08-05,K/W,Andheri West,Chain Snatching,Medium,IPC 478
2020-08-05,D,Malabar Hill,Burglary,High,IPC 301
2020-08-05,D,Malabar Hill,Chain Snatching,High,IPC 364
2020-08-06,N,Ghatkopar,Cyber Fraud,High,IPC 425
2020-08-06,H/E,Bandra East,Chain Snatching,High,IPC 378
2020-08-06,G/N,Dharavi,Extortion,Medium,IPC 346
2020-08-06,H/E,Bandra East,Burglary,Low,IPC 373
2020-08-06,M/E,Govandi,Chain Snatching,Low,IPC 368
2020-08-06,H/E,Bandra East,Extortion,High,IPC 378
2020-08-06,A,Colaba/Fort,Chain Snatching,High,IPC 402
2020-08-06,K/W,Andheri West,Burglary,High,IPC 484
2020-08-06,D,Malabar Hill,Theft,Medium,IPC 322
2020-08-06,M/E,Govandi,Burglary,High,IPC 373
2020-08-06,G/N,Dharavi,Extortion,Medium,IPC 334
2020-08-06,K/W,Andheri West,Cyber Fraud,Medium,IPC 396
2020-08-06,F/N,Matunga,Theft,Low,IPC 446
2020-08-06,G/N,Dharavi,Cyber Fraud,Medium,IPC 420
2020-08-06,E,Byculla,Chain Snatching,Medium,IPC 411
2020-08-06,E,Byculla,Cyber Fraud,High,IPC 399
2020-08-06,F/N,Matunga,Chain Snatching,High,IPC 401
2020-08-06,G/N,Dharavi,Extortion,High,IPC 400
2020-08-06,K/W,Andheri West,Assault,High,IPC 402
2020-08-06,A,Colaba/Fort,Burglary,High,IPC 482
2020-08-07,F/N,Matunga,Cyber Fraud,Low,IPC 359
2020-08-07,F/N,Matunga,Extortion,High,IPC 436
2020-08-07,D,Malabar Hill,Chain Snatching,Low,IPC 398
2020-08-07,M/E,Govandi,Cyber Fraud,Low,IPC 403
2020-08-07,L,Kurla,Burglary,Low,IPC 431
2020-08-07,N,Ghatkopar,Burglary,Low,IPC 472
2020-08-07,H/E,Bandra East,Extortion,Low,IPC 386
2020-08-07,N,Ghatkopar,Cyber Fraud,Low,IPC 356
2020-08-07,A,Colaba/Fort,Chain Snatching,Medium,IPC 401
2020-08-07,R/C,Borivali,Assault,Medium,IPC 316
2020-08-07,R/C,Borivali,Extortion,High,IPC 376
2020-08-07,E,Byculla,Extortion,High,IPC 440
2020-08-07,K/W,Andheri West,Theft,Medium,IPC 457
2020-08-07,E,Byculla,Assault,Low,IPC 466
2020-08-07,K/W,Andheri West,Theft,Medium,IPC 357
2020-08-07,E,Byculla,Theft,Medium,IPC 465
2020-08-07,H/E,Bandra East,Theft,High,IPC 350
2020-08-07,E,Byculla,Cyber Fraud,High,IPC 474
2020-08-08,D,Malabar Hill,Chain Snatching,Low,IPC 406
2020-08-08,L,Kurla,Cyber Fraud,Medium,IPC 362
2020-08-08,D,Malabar Hill,Burglary,Medium,IPC 463
2020-08-08,K/W,Andheri West,Assault,Low,IPC 449
2020-08-08,H/E,Bandra East,Assault,High,IPC 467
2020-08-08,G/N,Dharavi,Theft,Low,IPC 460
2020-08-08,E,Byculla,Extortion,High,IPC 371
2020-08-08,D,Malabar Hill,Cyber Fraud,Low,IPC 481
2020-08-08,K/W,Andheri West,Burglary,High,IPC 401
2020-08-08,G/N,Dharavi,Chain Snatching,High,IPC 339
2020-08-08,G/N,Dharavi,Extortion,Low,IPC 401
2020-08-08,R/C,Borivali,Burglary,Low,IPC 449
2020-08-08,F/N,Matunga,Extortion,High,IPC 445
2020-08-08,L,Kurla,Theft,Medium,IPC 441
2020-08-09,F/N,Matunga,Assault,High,IPC 407
2020-08-09,L,Kurla,Theft,Medium,IPC 442
2020-08-09,M/E,Govandi,Assault,Medium,IPC 385
2020-08-09,E,Byculla,Chain Snatching,High,IPC 334
2020-08-09,L,Kurla,Theft,High,IPC 408
2020-08-09,D,Malabar Hill,Assault,High,IPC 438
2020-08-09,M/E,Govandi,Chain Snatching,High,IPC 412
2020-08-09,H/E,Bandra East,Extortion,Medium,IPC 349
2020-08-09,G/N,Dharavi,Burglary,High,IPC 402
2020-08-09,N,Ghatkopar,Extortion,Medium,IPC 499
2020-08-09,H/E,Bandra East,Cyber Fraud,Medium,IPC 392
2020-08-09,K/W,Andheri West,Burglary,Medium,IPC 346
2020-08-09,D,Malabar Hill,Extortion,Low,IPC 367
2020-08-09,L,Kurla,Assault,Low,IPC 500
2020-08-09,D,Malabar Hill,Extortion,Low,IPC 358
2020-08-09,G/N,Dharavi,Extortion,Medium,IPC 477
2020-08-09,F/N,Matunga,Assault,Medium,IPC 485
2020-08-09,F/N,Matunga,Theft,Medium,IPC 485
2020-08-09,R/C,Borivali,Cyber Fraud,Low,IPC 316
2020-08-09,L,Kurla,Chain Snatching,Medium,IPC 500
2020-08-09,G/N,Dharavi,Cyber Fraud,Low,IPC 409
2020-08-09,K/W,Andheri West,Chain Snatching,High,IPC 454
2020-08-10,R/C,Borivali,Chain Snatching,Low,IPC 369
2020-08-10,G/N,Dharavi,Extortion,High,IPC 401
2020-08-10,R/C,Borivali,Cyber Fraud,Low,IPC 387
2020-08-10,H/E,Bandra East,Burglary,Low,IPC 347
2020-08-10,E,Byculla,Cyber Fraud,Medium,IPC 348
2020-08-10,N,Ghatkopar,Assault,Low,IPC 399
2020-08-10,A,Colaba/Fort,Assault,High,IPC 484
2020-08-10,D,Malabar Hill,Chain Snatching,Low,IPC 330
2020-08-10,A,Colaba/Fort,Burglary,High,IPC 397
2020-08-10,D,Malabar Hill,Cyber Fraud,High,IPC 400
2020-08-10,D,Malabar Hill,Burglary,Medium,IPC 431
2020-08-11,K/W,Andheri West,Cyber Fraud,Low,IPC 477
2020-08-11,K/W,Andheri West,Extortion,Medium,IPC 384
2020-08-11,K/W,Andheri West,Extortion,Medium,IPC 314
2020-08-11,F/N,Matunga,Burglary,Medium,IPC 409
2020-08-11,E,Byculla,Cyber Fraud,Medium,IPC 499
2020-08-11,L,Kurla,Burglary,High,IPC 388
2020-08-12,K/W,Andheri West,Chain Snatching,Low,IPC 355
2020-08-12,M/E,Govandi,Burglary,Low,IPC 339
2020-08-12,N,Ghatkopar,Theft,High,IPC 436
2020-08-12,F/N,Matunga,Extortion,Low,IPC 342
2020-08-12,F/N,Matunga,Theft,Medium,IPC 334
2020-08-12,N,Ghatkopar,Burglary,Medium,IPC 330
2020-08-12,F/N,Matunga,Theft,High,IPC 350
2020-08-12,M/E,Govandi,Chain Snatching,High,IPC 399
2020-08-12,M/E,Govandi,Chain Snatching,Medium,IPC 445
2020-08-12,L,Kurla,Extortion,Medium,IPC 450
2020-08-12,D,Malabar Hill,Burglary,High,IPC 389
2020-08-12,L,Kurla,Theft,Low,IPC 363
2020-08-12,L,Kurla,Chain Snatching,Low,IPC 457
2020-08-12,G/N,Dharavi,Chain Snatching,Low,IPC 421
2020-08-12,L,Kurla,Burglary,Medium,IPC 353
2020-08-12,K/W,Andheri West,Extortion,Medium,IPC 359
2020-08-12,D,Malabar Hill,Theft,Low,IPC 435
2020-08-12,A,Colaba/Fort,Theft,Low,IPC 380
2020-08-12,H/E,Bandra East,Extortion,Medium,IPC 324
2020-08-12,M/E,Govandi,Assault,Medium,IPC 308
2020-08-13,H/E,Bandra East,Cyber Fraud,High,IPC 459
2020-08-13,M/E,Govandi,Extortion,Medium,IPC 389
2020-08-13,A,Colaba/Fort,Theft,Low,IPC 428
2020-08-13,D,Malabar Hill,Chain Snatching,High,IPC 420
2020-08-13,K/W,Andheri West,Chain Snatching,Medium,IPC 464
2020-08-13,M/E,Govandi,Extortion,Low,IPC 451
2020-08-13,L,Kurla,Theft,Low,IPC 308
2020-08-13,M/E,Govandi,Assault,Low,IPC 432
2020-08-13,G/N,Dharavi,Burglary,Medium,IPC 411
2020-08-13,A,Colaba/Fort,Extortion,Low,IPC 431
2020-08-13,E,Byculla,Chain Snatching,Low,IPC 496
2020-08-13,M/E,Govandi,Chain Snatching,High,IPC 389
2020-08-13,L,Kurla,Extortion,High,IPC 305
2020-08-13,A,Colaba/Fort,Extortion,High,IPC 330
2020-08-13,N,Ghatkopar,Cyber Fraud,High,IPC 335
2020-08-13,K/W,Andheri West,Cyber Fraud,Medium,IPC 457
2020-08-13,L,Kurla,Chain Snatching,Low,IPC 370
2020-08-13,H/E,Bandra East,Extortion,Medium,IPC 300
2020-08-13,G/N,Dharavi,Chain Snatching,Low,IPC 336
2020-08-14,E,Byculla,Cyber Fraud,Low,IPC 445
2020-08-14,F/N,Matunga,Cyber Fraud,High,IPC 468
2020-08-14,D,Malabar Hill,Burglary,Low,IPC 333
2020-08-14,E,Byculla,Cyber Fraud,Medium,IPC 408
2020-08-14,F/N,Matunga,Assault,Medium,IPC 405
2020-08-14,G/N,Dharavi,Theft,High,IPC 445
2020-08-14,N,Ghatkopar,Chain Snatching,Medium,IPC 396
2020-08-14,G/N,Dharavi,Assault,Medium,IPC 467
2020-08-14,K/W,Andheri West,Extortion,Low,IPC 354
2020-08-14,L,Kurla,Cyber Fraud,Medium,IPC 453
2020-08-14,R/C,Borivali,Burglary,Medium,IPC 312
2020-08-14,L,Kurla,Extortion,High,IPC 484
2020-08-14,E,Byculla,Cyber Fraud,Medium,IPC 415
2020-08-14,L,Kurla,Theft,Low,IPC 366
2020-08-14,A,Colaba/Fort,Chain Snatching,Low,IPC 335
2020-08-14,D,Malabar Hill,Extortion,High,IPC 402
2020-08-14,L,Kurla,Theft,Medium,IPC 334
2020-08-15,L,Kurla,Theft,Medium,IPC 401
2020-08-15,R/C,Borivali,Assault,Low,IPC 466
2020-08-15,K/W,Andheri West,Theft,Low,IPC 439
2020-08-15,M/E,Govandi,Cyber Fraud,Low,IPC 498
2020-08-15,N,Ghatkopar,Extortion,High,IPC 470
2020-08-15,N,Ghatkopar,Burglary,Low,IPC 305
2020-08-15,D,Malabar Hill,Burglary,High,IPC 482
2020-08-15,D,Malabar Hill,Extortion,Medium,IPC 422
2020-08-15,R/C,Borivali,Chain Snatching,Medium,IPC 350
2020-08-15,F/N,Matunga,Assault,Low,IPC 342
2020-08-15,M/E,Govandi,Cyber Fraud,Low,IPC 422
2020-08-15,M/E,Govandi,Cyber Fraud,Low,IPC 371
2020-08-16,R/C,Borivali,Cyber Fraud,Medium,IPC 421
2020-08-16,K/W,Andheri West,Assault,High,IPC 345
2020-08-16,H/E,Bandra East,Extortion,Low,IPC 355
2020-08-16,D,Malabar Hill,Cyber Fraud,Low,IPC 476
2020-08-16,K/W,Andheri West,Assault,High,IPC 350
2020-08-16,E,Byculla,Assault,Low,IPC 314
2020-08-16,M/E,Govandi,Assault,Low,IPC 329
2020-08-16,F/N,Matunga,Chain Snatching,High,IPC 451
2020-08-16,L,Kurla,Theft,High,IPC 407
2020-08-16,F/N,Matunga,Burglary,Low,IPC 494
2020-08-16,F/N,Matunga,Assault,Medium,IPC 380
2020-08-17,N,Ghatkopar,Chain Snatching,Low,IPC 303
2020-08-17,M/E,Govandi,Burglary,High,IPC 486
2020-08-17,K/W,Andheri West,Cyber Fraud,High,IPC 413
2020-08-17,E,Byculla,Theft,Medium,IPC 408
