"Report Number","Date Reported","Date of Occurrence","Time of Occurrence","City","Crime Code","Crime Description","Victim Age","Victim Gender","Weapon Used","Crime Domain","Police Deployed","Case Closed","Date Case Closed"
"3783","03-09-2021 20:00","09-01-2021 22:00","02-09-2021 11:22","Mumbai","314","KIDNAPPING","43","F","Knife","Other Crime","15","No",""
"3790","04-09-2021 11:00","09-02-2021 04:00","03-09-2021 02:17","Mumbai","544","SHOPLIFTING","11","F","Knife","Other Crime","10","Yes","04-10-2021 11:00"
"3815","07-09-2021 01:00","09-06-2021 13:00","07-09-2021 03:54","Mumbai","578","BURGLARY","68","F","Knife","Other Crime","18","No",""
"3838","09-09-2021 07:00","09-09-2021 03:00","09-09-2021 22:29","Mumbai","554","ROBBERY","35","M","Knife","Violent Crime","14","No",""
"3856","11-09-2021 16:00","09-09-2021 19:00","10-09-2021 00:20","Mumbai","476","HOMICIDE","39","F","None","Other Crime","19","Yes","29-08-2023 16:00"
"3879","13-09-2021 17:00","09-12-2021 21:00","13-09-2021 02:27","Mumbai","542","IDENTITY THEFT","20","M","Knife","Violent Crime","10","Yes","30-11-2021 17:00"
"3881","13-09-2021 18:00","09-12-2021 20:00","13-09-2021 03:03","Mumbai","571","BURGLARY","49","M","Blunt Object","Other Crime","2","Yes","09-02-2022 18:00"
"3889","14-09-2021 08:00","09-13-2021 08:00","13-09-2021 11:29","Mumbai","349","DRUG OFFENSE","64","F","Explosives","Other Crime","8","Yes","30-11-2021 08:00"
"3895","15-09-2021 00:00","09-12-2021 14:00","13-09-2021 07:55","Mumbai","372","BURGLARY","65","M","Poison","Other Crime","9","Yes","15-10-2021 00:00"
"3897","15-09-2021 03:00","09-14-2021 09:00","14-09-2021 18:22","Mumbai","215","HOMICIDE","17","F","Blunt Object","Other Crime","6","No",""
"3912","16-09-2021 11:00","09-14-2021 17:00","15-09-2021 00:10","Mumbai","171","IDENTITY THEFT","67","M","Blunt Object","Violent Crime","8","No",""
"3914","16-09-2021 14:00","09-15-2021 16:00","16-09-2021 00:30","Mumbai","261","IDENTITY THEFT","49","F","None","Violent Crime","3","Yes","03-12-2021 14:00"
"3919","17-09-2021 01:00","09-15-2021 17:00","16-09-2021 07:03","Mumbai","204","SHOPLIFTING","74","M","Knife","Other Crime","11","Yes","28-10-2021 01:00"
"3923","17-09-2021 13:00","09-14-2021 20:00","15-09-2021 05:15","Mumbai","339","CYBERCRIME","73","F","None","Other Crime","17","Yes","13-10-2021 13:00"
"3930","18-09-2021 21:00","09-16-2021 17:00","17-09-2021 12:28","Mumbai","109","SEXUAL ASSAULT","16","M","Poison","Violent Crime","6","No",""
"3934","19-09-2021 00:00","09-16-2021 10:00","16-09-2021 14:55","Mumbai","116","ARSON","24","F","Poison","Fire Accident","12","No",""
"3935","19-09-2021 01:00","09-17-2021 22:00","18-09-2021 09:35","Mumbai","104","KIDNAPPING","27","F","Knife","Other Crime","17","No",""
"3936","19-09-2021 01:00","09-16-2021 22:00","17-09-2021 13:18","Mumbai","434","ILLEGAL POSSESSION","48","F","Explosives","Other Crime","1","No",""
"3945","19-09-2021 18:00","09-16-2021 21:00","16-09-2021 23:09","Mumbai","152","ROBBERY","47","M","Blunt Object","Violent Crime","13","No",""
"3953","20-09-2021 22:00","09-18-2021 05:00","18-09-2021 11:38","Mumbai","169","SEXUAL ASSAULT","35","F","None","Violent Crime","1","Yes","11-08-2022 22:00"
"3955","20-09-2021 23:00","09-19-2021 11:00","19-09-2021 18:59","Mumbai","445","EXTORTION","78","M","Poison","Other Crime","2","No",""
"3977","23-09-2021 04:00","09-21-2021 11:00","22-09-2021 01:13","Mumbai","141","FIREARM OFFENSE","74","F","Blunt Object","Fire Accident","1","Yes","29-11-2021 04:00"
"3983","23-09-2021 17:00","09-21-2021 00:00","21-09-2021 18:49","Mumbai","256","ROBBERY","75","M","Knife","Violent Crime","16","Yes","15-11-2021 17:00"
"3984","24-09-2021 00:00","09-21-2021 02:00","21-09-2021 03:44","Mumbai","389","IDENTITY THEFT","27","M","Explosives","Violent Crime","15","No",""
"4029","28-09-2021 05:00","09-26-2021 10:00","27-09-2021 09:18","Mumbai","534","PUBLIC INTOXICATION","35","M","Blunt Object","Other Crime","15","No",""
"4035","28-09-2021 15:00","09-27-2021 08:00","28-09-2021 02:35","Mumbai","142","TRAFFIC VIOLATION","26","F","Blunt Object","Traffic Fatality","6","No",""
"4037","28-09-2021 17:00","09-26-2021 18:00","27-09-2021 13:36","Mumbai","567","HOMICIDE","48","F","Knife","Other Crime","14","No",""
"4041","29-09-2021 05:00","09-28-2021 15:00","29-09-2021 08:13","Mumbai","325","EXTORTION","65","M","Blunt Object","Other Crime","16","No",""
"4060","01-10-2021 00:00","09-29-2021 04:00","29-09-2021 15:25","Mumbai","423","KIDNAPPING","75","M","None","Other Crime","11","Yes","09-11-2021 00:00"
"4062","01-10-2021 01:00","09-30-2021 12:00","01-10-2021 06:31","Mumbai","472","HOMICIDE","79","F","Knife","Other Crime","16","No",""
"4065","01-10-2021 07:00","09-28-2021 11:00","29-09-2021 00:52","Mumbai","583","KIDNAPPING","10","F","None","Other Crime","11","Yes","08-10-2021 07:00"
"4080","03-10-2021 11:00","09-30-2021 22:00","01-10-2021 03:22","Mumbai","138","VANDALISM","26","F","Blunt Object","Other Crime","7","No",""
"4089","04-10-2021 10:00","10-02-2021 19:00","03-10-2021 09:53","Mumbai","455","FIREARM OFFENSE","65","F","None","Fire Accident","14","No",""
"4096","04-10-2021 16:00","10-01-2021 23:00","01-10-2021 23:12","Mumbai","343","ILLEGAL POSSESSION","48","F","Knife","Other Crime","14","Yes","27-10-2021 16:00"
"4098","05-10-2021 08:00","10-03-2021 05:00","03-10-2021 11:29","Mumbai","422","EXTORTION","21","M","Knife","Other Crime","14","No",""
"4101","05-10-2021 22:00","10-04-2021 04:00","04-10-2021 20:10","Mumbai","422","ASSAULT","59","F","Poison","Violent Crime","3","No",""
"4107","06-10-2021 14:00","10-05-2021 02:00","05-10-2021 19:26","Mumbai","190","BURGLARY","32","M","Poison","Other Crime","12","No",""
"4110","06-10-2021 19:00","10-04-2021 19:00","05-10-2021 12:00","Mumbai","497","IDENTITY THEFT","23","F","Blunt Object","Violent Crime","18","Yes","02-01-2022 19:00"
"4130","08-10-2021 16:00","10-08-2021 14:00","09-10-2021 07:31","Mumbai","177","FRAUD","51","M","Blunt Object","Other Crime","1","Yes","29-10-2021 16:00"
"4137","09-10-2021 02:00","10-08-2021 23:00","09-10-2021 08:09","Mumbai","361","VEHICLE - STOLEN","71","M","None","Violent Crime","15","No",""
"4158","11-10-2021 01:00","10-09-2021 01:00","09-10-2021 17:59","Mumbai","353","KIDNAPPING","78","M","Poison","Other Crime","8","No",""
"4173","12-10-2021 22:00","10-11-2021 06:00","12-10-2021 03:52","Mumbai","185","CYBERCRIME","78","M","None","Other Crime","14","No",""
"4174","13-10-2021 01:00","10-10-2021 06:00","11-10-2021 02:42","Mumbai","341","KIDNAPPING","20","F","Explosives","Other Crime","4","Yes","14-12-2021 01:00"
"4185","13-10-2021 18:00","10-13-2021 03:00","13-10-2021 19:53","Mumbai","463","CYBERCRIME","37","F","None","Other Crime","7","Yes","26-11-2021 18:00"
"4199","15-10-2021 03:00","10-13-2021 14:00","13-10-2021 19:15","Mumbai","418","FIREARM OFFENSE","74","F","Knife","Fire Accident","4","Yes","07-11-2021 03:00"
"4202","15-10-2021 11:00","10-14-2021 02:00","14-10-2021 22:15","Mumbai","236","IDENTITY THEFT","67","M","Blunt Object","Violent Crime","8","No",""
"4218","16-10-2021 12:00","10-15-2021 03:00","15-10-2021 15:05","Mumbai","170","DRUG OFFENSE","50","M","None","Other Crime","1","No",""
"4228","17-10-2021 07:00","10-16-2021 19:00","17-10-2021 14:52","Mumbai","325","SHOPLIFTING","78","M","Poison","Other Crime","6","Yes","29-10-2021 07:00"
"4229","17-10-2021 07:00","10-14-2021 09:00","14-10-2021 19:28","Mumbai","233","ROBBERY","33","M","Explosives","Violent Crime","18","No",""
"4256","19-10-2021 23:00","10-18-2021 23:00","19-10-2021 09:10","Mumbai","293","BURGLARY","49","M","Knife","Other Crime","7","Yes","18-03-2022 23:00"
"4263","20-10-2021 12:00","10-17-2021 18:00","18-10-2021 10:45","Mumbai","234","EXTORTION","66","F","Knife","Other Crime","11","Yes","03-11-2021 12:00"
"4272","21-10-2021 08:00","10-19-2021 05:00","19-10-2021 07:50","Mumbai","171","IDENTITY THEFT","47","F","None","Violent Crime","2","Yes","10-12-2021 08:00"
"4279","22-10-2021 00:00","10-20-2021 10:00","20-10-2021 21:49","Mumbai","314","COUNTERFEITING","52","F","Knife","Other Crime","13","Yes","20-11-2021 00:00"
"4281","22-10-2021 03:00","10-20-2021 08:00","20-10-2021 20:57","Mumbai","149","IDENTITY THEFT","41","M","Blunt Object","Violent Crime","18","No",""
"4288","22-10-2021 20:00","10-20-2021 09:00","20-10-2021 17:24","Mumbai","590","PUBLIC INTOXICATION","29","M","Blunt Object","Other Crime","8","No",""
"4290","23-10-2021 05:00","10-22-2021 21:00","23-10-2021 16:13","Mumbai","410","SEXUAL ASSAULT","22","F","Poison","Violent Crime","13","Yes","28-07-2022 05:00"
"4294","23-10-2021 18:00","10-21-2021 22:00","22-10-2021 19:03","Mumbai","225","HOMICIDE","73","F","Blunt Object","Other Crime","18","Yes","03-05-2022 18:00"
"4309","24-10-2021 20:00","10-24-2021 13:00","25-10-2021 12:31","Mumbai","248","TRAFFIC VIOLATION","61","F","Explosives","Traffic Fatality","11","Yes","26-10-2021 20:00"
"4312","25-10-2021 09:00","10-22-2021 19:00","23-10-2021 09:43","Mumbai","118","IDENTITY THEFT","68","M","Poison","Violent Crime","9","Yes","01-12-2021 09:00"
"4325","26-10-2021 09:00","10-24-2021 10:00","24-10-2021 22:31","Mumbai","375","SHOPLIFTING","30","M","Explosives","Other Crime","10","No",""
"4331","26-10-2021 22:00","10-26-2021 02:00","26-10-2021 17:04","Mumbai","158","COUNTERFEITING","13","F","None","Other Crime","15","No",""
"4333","27-10-2021 06:00","10-26-2021 06:00","26-10-2021 19:35","Mumbai","434","SEXUAL ASSAULT","21","M","Poison","Violent Crime","18","No",""
"4341","28-10-2021 14:00","10-26-2021 05:00","26-10-2021 08:52","Mumbai","155","KIDNAPPING","46","M","Explosives","Other Crime","10","Yes","11-11-2021 14:00"
"4346","28-10-2021 21:00","10-26-2021 08:00","26-10-2021 09:01","Mumbai","413","PUBLIC INTOXICATION","74","M","Knife","Other Crime","2","No",""
"4349","29-10-2021 04:00","10-26-2021 17:00","27-10-2021 00:10","Mumbai","214","ILLEGAL POSSESSION","73","M","Explosives","Other Crime","13","Yes","20-01-2022 04:00"
"4364","30-10-2021 20:00","10-29-2021 19:00","30-10-2021 11:22","Mumbai","188","TRAFFIC VIOLATION","57","F","Blunt Object","Traffic Fatality","15","Yes","31-10-2021 20:00"
"4374","01-11-2021 05:00","10-30-2021 07:00","30-10-2021 13:02","Mumbai","420","CYBERCRIME","67","F","Poison","Other Crime","6","No",""
"4387","02-11-2021 13:00","10-31-2021 20:00","01-11-2021 10:13","Mumbai","497","COUNTERFEITING","71","M","Poison","Other Crime","12","No",""
"4391","02-11-2021 20:00","10-31-2021 18:00","01-11-2021 01:42","Mumbai","354","COUNTERFEITING","20","F","Blunt Object","Other Crime","19","No",""
"4393","02-11-2021 22:00","10-31-2021 05:00","31-10-2021 17:47","Mumbai","418","KIDNAPPING","53","F","None","Other Crime","1","No",""
"4402","03-11-2021 20:00","11-03-2021 09:00","04-11-2021 02:54","Mumbai","382","SEXUAL ASSAULT","39","M","None","Violent Crime","14","No",""
"4409","04-11-2021 17:00","11-02-2021 13:00","03-11-2021 11:52","Mumbai","287","KIDNAPPING","25","M","Poison","Other Crime","3","No",""
"4419","05-11-2021 14:00","11-04-2021 11:00","04-11-2021 12:14","Mumbai","208","SHOPLIFTING","48","F","Knife","Other Crime","18","Yes","08-12-2021 14:00"
"4440","07-11-2021 13:00","11-06-2021 16:00","07-11-2021 08:50","Mumbai","274","ASSAULT","72","F","Explosives","Violent Crime","15","No",""
"4441","07-11-2021 17:00","11-06-2021 21:00","07-11-2021 01:35","Mumbai","124","VEHICLE - STOLEN","44","F","Explosives","Violent Crime","1","Yes","27-12-2021 17:00"
"4446","08-11-2021 02:00","11-06-2021 03:00","06-11-2021 20:23","Mumbai","244","VANDALISM","38","F","Explosives","Other Crime","12","No",""
"4447","08-11-2021 02:00","11-07-2021 06:00","07-11-2021 19:57","Mumbai","178","FRAUD","44","M","Blunt Object","Other Crime","17","No",""
"4462","10-11-2021 16:00","11-08-2021 21:00","08-11-2021 22:50","Mumbai","147","SHOPLIFTING","21","F","Explosives","Other Crime","15","No",""
"4474","11-11-2021 18:00","11-11-2021 12:00","12-11-2021 06:13","Mumbai","313","PUBLIC INTOXICATION","47","M","None","Other Crime","6","Yes","10-12-2021 18:00"
"4478","12-11-2021 03:00","11-11-2021 20:00","12-11-2021 03:59","Mumbai","252","DOMESTIC VIOLENCE","78","F","Knife","Violent Crime","10","No",""
"4487","12-11-2021 22:00","11-11-2021 18:00","11-11-2021 21:26","Mumbai","293","ASSAULT","52","F","Poison","Violent Crime","15","Yes","06-02-2022 22:00"
"4506","14-11-2021 21:00","11-13-2021 02:00","13-11-2021 10:03","Mumbai","468","ROBBERY","11","F","Blunt Object","Violent Crime","13","Yes","17-04-2022 21:00"
"4514","15-11-2021 08:00","11-14-2021 10:00","14-11-2021 10:23","Mumbai","576","SHOPLIFTING","39","M","Poison","Other Crime","8","Yes","07-01-2022 08:00"
"4524","16-11-2021 11:00","11-15-2021 06:00","16-11-2021 03:09","Mumbai","421","DOMESTIC VIOLENCE","32","F","None","Violent Crime","18","No",""
"4530","16-11-2021 18:00","11-15-2021 23:00","16-11-2021 03:48","Mumbai","177","ILLEGAL POSSESSION","68","M","None","Other Crime","12","Yes","04-12-2021 18:00"
"4547","18-11-2021 23:00","11-16-2021 06:00","16-11-2021 18:31","Mumbai","558","ROBBERY","21","F","Explosives","Violent Crime","7","Yes","29-01-2022 23:00"
"4564","20-11-2021 10:00","11-20-2021 00:00","20-11-2021 05:56","Mumbai","507","IDENTITY THEFT","30","M","None","Violent Crime","4","No",""
"4581","22-11-2021 12:00","11-20-2021 12:00","21-11-2021 07:46","Mumbai","311","DRUG OFFENSE","57","M","Explosives","Other Crime","3","Yes","29-12-2021 12:00"
"4585","22-11-2021 19:00","11-20-2021 19:00","21-11-2021 05:10","Mumbai","281","TRAFFIC VIOLATION","57","F","Explosives","Traffic Fatality","16","No",""
"4596","23-11-2021 21:00","11-23-2021 05:00","23-11-2021 09:10","Mumbai","275","DRUG OFFENSE","39","F","Knife","Other Crime","19","No",""
"4607","24-11-2021 20:00","11-22-2021 00:00","22-11-2021 20:22","Mumbai","429","BURGLARY","66","F","None","Other Crime","11","No",""
"4633","27-11-2021 08:00","11-24-2021 13:00","25-11-2021 04:30","Mumbai","512","COUNTERFEITING","52","F","Explosives","Other Crime","19","Yes","19-02-2022 08:00"
"4657","29-11-2021 17:00","11-29-2021 01:00","29-11-2021 07:00","Mumbai","308","DOMESTIC VIOLENCE","62","F","Poison","Violent Crime","10","No",""
"4663","30-11-2021 09:00","11-29-2021 14:00","30-11-2021 12:45","Mumbai","251","ASSAULT","76","F","None","Violent Crime","3","No",""
"4669","30-11-2021 21:00","11-28-2021 00:00","28-11-2021 05:54","Mumbai","538","DRUG OFFENSE","79","F","None","Other Crime","14","No",""
"4681","01-12-2021 21:00","12-01-2021 08:00","01-12-2021 08:47","Mumbai","253","EXTORTION","63","M","None","Other Crime","9","No",""
"4686","02-12-2021 03:00","11-30-2021 19:00","30-11-2021 19:24","Mumbai","387","ASSAULT","38","F","Explosives","Violent Crime","7","No",""
"4701","03-12-2021 14:00","12-01-2021 15:00","02-12-2021 03:54","Mumbai","427","PUBLIC INTOXICATION","57","F","Blunt Object","Other Crime","5","Yes","19-12-2021 14:00"
"4702","03-12-2021 14:00","12-02-2021 12:00","02-12-2021 21:39","Mumbai","513","IDENTITY THEFT","41","M","Explosives","Violent Crime","11","No",""
"4704","03-12-2021 18:00","12-03-2021 17:00","04-12-2021 07:18","Mumbai","121","ROBBERY","43","F","Blunt Object","Violent Crime","10","No",""
"4715","04-12-2021 18:00","12-04-2021 00:00","04-12-2021 00:25","Mumbai","250","EXTORTION","27","M","Poison","Other Crime","1","Yes","21-01-2022 18:00"
"4716","04-12-2021 18:00","12-04-2021 12:00","04-12-2021 13:16","Mumbai","574","CYBERCRIME","18","M","Blunt Object","Other Crime","17","No",""
"4725","06-12-2021 05:00","12-05-2021 01:00","05-12-2021 20:02","Mumbai","104","FIREARM OFFENSE","57","F","Explosives","Fire Accident","10","No",""
"4730","06-12-2021 11:00","12-04-2021 14:00","05-12-2021 01:56","Mumbai","480","SEXUAL ASSAULT","24","F","Poison","Violent Crime","6","No",""
"4733","07-12-2021 01:00","12-06-2021 00:00","06-12-2021 22:24","Mumbai","271","SEXUAL ASSAULT","79","F","Blunt Object","Violent Crime","19","Yes","28-04-2023 01:00"
"4755","09-12-2021 07:00","12-08-2021 06:00","08-12-2021 16:45","Mumbai","521","DOMESTIC VIOLENCE","20","M","Knife","Violent Crime","16","No",""
"4783","11-12-2021 11:00","12-10-2021 11:00","11-12-2021 01:13","Mumbai","519","TRAFFIC VIOLATION","31","F","Blunt Object","Traffic Fatality","10","No",""
"4784","11-12-2021 15:00","12-09-2021 10:00","10-12-2021 06:40","Mumbai","481","ILLEGAL POSSESSION","24","F","Blunt Object","Other Crime","17","Yes","19-02-2022 15:00"
"4786","11-12-2021 18:00","12-08-2021 22:00","08-12-2021 22:35","Mumbai","404","TRAFFIC VIOLATION","43","F","Explosives","Traffic Fatality","3","No",""
"4819","14-12-2021 06:00","12-13-2021 23:00","14-12-2021 17:14","Mumbai","442","ROBBERY","15","F","Poison","Violent Crime","13","Yes","03-02-2022 06:00"
"4830","15-12-2021 05:00","12-13-2021 03:00","13-12-2021 11:34","Mumbai","308","FIREARM OFFENSE","42","F","Blunt Object","Fire Accident","6","No",""
"4833","15-12-2021 08:00","12-15-2021 01:00","15-12-2021 19:17","Mumbai","487","DOMESTIC VIOLENCE","15","F","Poison","Violent Crime","19","No",""
"4840","15-12-2021 17:00","12-14-2021 10:00","14-12-2021 17:57","Mumbai","538","FIREARM OFFENSE","69","M","None","Fire Accident","1","Yes","06-01-2022 17:00"
"4857","17-12-2021 02:00","12-16-2021 11:00","17-12-2021 09:07","Mumbai","525","KIDNAPPING","69","F","None","Other Crime","13","No",""
"4859","17-12-2021 04:00","12-16-2021 17:00","17-12-2021 16:29","Mumbai","361","ARSON","50","F","None","Fire Accident","19","No",""
"4865","18-12-2021 01:00","12-17-2021 01:00","17-12-2021 11:22","Mumbai","157","ILLEGAL POSSESSION","30","F","Blunt Object","Other Crime","5","No",""
"4874","18-12-2021 19:00","12-16-2021 15:00","17-12-2021 06:08","Mumbai","484","COUNTERFEITING","51","M","Poison","Other Crime","12","No",""
"4891","20-12-2021 06:00","12-19-2021 11:00","20-12-2021 06:32","Mumbai","581","BURGLARY","39","F","None","Other Crime","16","No",""
"4898","21-12-2021 00:00","12-20-2021 20:00","21-12-2021 16:05","Mumbai","259","DRUG OFFENSE","24","F","Explosives","Other Crime","1","No",""
"4923","23-12-2021 09:00","12-22-2021 17:00","23-12-2021 12:29","Mumbai","583","SHOPLIFTING","26","F","Blunt Object","Other Crime","17","No",""
"4935","24-12-2021 16:00","12-22-2021 00:00","22-12-2021 04:44","Mumbai","381","ASSAULT","47","M","Explosives","Violent Crime","12","Yes","24-02-2022 16:00"
"4939","24-12-2021 18:00","12-24-2021 04:00","24-12-2021 04:29","Mumbai","117","EXTORTION","18","M","None","Other Crime","6","Yes","14-02-2022 18:00"
"4947","25-12-2021 12:00","12-24-2021 06:00","24-12-2021 18:58","Mumbai","434","IDENTITY THEFT","12","F","None","Violent Crime","13","Yes","01-03-2022 12:00"
"4976","27-12-2021 12:00","12-25-2021 19:00","25-12-2021 22:48","Mumbai","321","FRAUD","41","F","Poison","Other Crime","14","No",""
"4990","28-12-2021 20:00","12-28-2021 11:00","29-12-2021 09:37","Mumbai","164","TRAFFIC VIOLATION","48","F","None","Traffic Fatality","6","Yes","16-01-2022 20:00"
"4995","29-12-2021 07:00","12-27-2021 11:00","28-12-2021 08:14","Mumbai","302","BURGLARY","33","F","Blunt Object","Other Crime","10","No",""
"5035","01-01-2022 17:00","12-30-2021 03:00","31-12-2021 00:29","Mumbai","205","ROBBERY","65","M","Blunt Object","Violent Crime","1","No",""
"5057","04-01-2022 04:00","01-03-2022 16:00","04-01-2022 14:46","Mumbai","360","HOMICIDE","76","M","Blunt Object","Other Crime","5","Yes","09-09-2023 04:00"
"5074","05-01-2022 13:00","01-04-2022 14:00","05-01-2022 00:22","Mumbai","495","BURGLARY","58","F","Poison","Other Crime","12","Yes","16-06-2022 13:00"
"5077","05-01-2022 21:00","01-03-2022 11:00","03-01-2022 22:37","Mumbai","272","KIDNAPPING","69","F","Knife","Other Crime","19","Yes","23-02-2022 21:00"
"5105","08-01-2022 07:00","01-06-2022 05:00","06-01-2022 17:15","Mumbai","445","SEXUAL ASSAULT","19","F","None","Violent Crime","11","No",""
"5108","08-01-2022 14:00","01-07-2022 07:00","08-01-2022 00:20","Mumbai","262","SEXUAL ASSAULT","22","F","Blunt Object","Violent Crime","18","Yes","29-03-2023 14:00"
"5112","08-01-2022 22:00","01-06-2022 15:00","06-01-2022 16:42","Mumbai","555","KIDNAPPING","52","F","Blunt Object","Other Crime","14","No",""
"5113","08-01-2022 23:00","01-06-2022 00:00","06-01-2022 14:35","Mumbai","528","ARSON","50","F","Explosives","Fire Accident","8","Yes","02-03-2022 23:00"
"5124","09-01-2022 15:00","01-09-2022 02:00","09-01-2022 02:04","Mumbai","257","COUNTERFEITING","44","F","Explosives","Other Crime","14","No",""
"5128","10-01-2022 00:00","01-08-2022 03:00","08-01-2022 03:03","Mumbai","149","ILLEGAL POSSESSION","24","F","Explosives","Other Crime","12","No",""
"5136","11-01-2022 10:00","01-09-2022 11:00","10-01-2022 01:54","Mumbai","407","DRUG OFFENSE","26","M","Blunt Object","Other Crime","19","No",""
"5139","11-01-2022 15:00","01-10-2022 12:00","11-01-2022 01:37","Mumbai","437","KIDNAPPING","70","M","None","Other Crime","7","Yes","15-02-2022 15:00"
"5151","12-01-2022 07:00","01-11-2022 08:00","11-01-2022 23:35","Mumbai","418","FRAUD","75","F","None","Other Crime","17","No",""
"5153","12-01-2022 14:00","01-11-2022 09:00","12-01-2022 06:14","Mumbai","562","SHOPLIFTING","73","F","None","Other Crime","4","Yes","15-03-2022 14:00"
"5161","13-01-2022 11:00","01-12-2022 06:00","12-01-2022 21:31","Mumbai","586","FRAUD","13","M","Blunt Object","Other Crime","13","No",""
"5163","13-01-2022 14:00","01-11-2022 05:00","11-01-2022 07:02","Mumbai","581","PUBLIC INTOXICATION","63","F","Blunt Object","Other Crime","14","Yes","01-02-2022 14:00"
"5165","13-01-2022 19:00","01-12-2022 07:00","12-01-2022 17:13","Mumbai","119","COUNTERFEITING","10","F","Blunt Object","Other Crime","12","No",""
"5179","14-01-2022 18:00","01-12-2022 20:00","13-01-2022 10:11","Mumbai","199","SHOPLIFTING","11","F","None","Other Crime","12","Yes","15-03-2022 18:00"
"5183","15-01-2022 02:00","01-14-2022 16:00","14-01-2022 18:14","Mumbai","327","VEHICLE - STOLEN","75","M","Poison","Violent Crime","13","Yes","03-02-2022 02:00"
"5185","15-01-2022 06:00","01-12-2022 17:00","12-01-2022 22:56","Mumbai","573","DOMESTIC VIOLENCE","31","F","Blunt Object","Violent Crime","10","No",""
"5187","15-01-2022 09:00","01-14-2022 08:00","14-01-2022 18:03","Mumbai","369","FIREARM OFFENSE","49","M","None","Fire Accident","14","Yes","23-01-2022 09:00"
"5192","15-01-2022 23:00","01-14-2022 03:00","14-01-2022 22:20","Mumbai","373","IDENTITY THEFT","60","F","Poison","Violent Crime","11","No",""
"5207","17-01-2022 02:00","01-15-2022 08:00","15-01-2022 20:20","Mumbai","244","FIREARM OFFENSE","19","F","Blunt Object","Fire Accident","11","Yes","06-02-2022 02:00"
"5216","17-01-2022 16:00","01-15-2022 23:00","16-01-2022 07:39","Mumbai","375","ROBBERY","20","M","None","Violent Crime","8","Yes","06-07-2022 16:00"
"5217","17-01-2022 16:00","01-15-2022 01:00","15-01-2022 06:58","Mumbai","200","ILLEGAL POSSESSION","74","M","Explosives","Other Crime","13","No",""
"5237","19-01-2022 06:00","01-18-2022 16:00","19-01-2022 08:25","Mumbai","429","HOMICIDE","45","M","Knife","Other Crime","14","Yes","02-05-2023 06:00"
"5238","19-01-2022 12:00","01-17-2022 06:00","18-01-2022 00:27","Mumbai","546","SEXUAL ASSAULT","37","F","Knife","Violent Crime","11","No",""
"5242","19-01-2022 16:00","01-18-2022 12:00","18-01-2022 23:06","Mumbai","266","ASSAULT","51","F","Blunt Object","Violent Crime","12","Yes","21-03-2022 16:00"
"5248","20-01-2022 00:00","01-17-2022 22:00","18-01-2022 15:23","Mumbai","463","IDENTITY THEFT","76","M","None","Violent Crime","1","No",""
"5249","20-01-2022 02:00","01-17-2022 12:00","18-01-2022 06:38","Mumbai","397","SHOPLIFTING","23","F","Blunt Object","Other Crime","16","Yes","04-03-2022 02:00"
"5276","21-01-2022 22:00","01-20-2022 18:00","20-01-2022 23:25","Mumbai","348","SEXUAL ASSAULT","36","F","Blunt Object","Violent Crime","16","No",""
"5277","22-01-2022 04:00","01-21-2022 19:00","22-01-2022 13:40","Mumbai","214","CYBERCRIME","15","F","Blunt Object","Other Crime","19","No",""
"5284","23-01-2022 01:00","01-21-2022 18:00","22-01-2022 11:28","Mumbai","366","PUBLIC INTOXICATION","57","M","Blunt Object","Other Crime","4","Yes","09-02-2022 01:00"
"5292","23-01-2022 11:00","01-23-2022 03:00","23-01-2022 11:53","Mumbai","151","SEXUAL ASSAULT","62","F","Knife","Violent Crime","14","No",""
"5295","24-01-2022 02:00","01-22-2022 18:00","23-01-2022 17:47","Mumbai","147","ASSAULT","73","F","Knife","Violent Crime","13","No",""
"5297","24-01-2022 04:00","01-22-2022 01:00","22-01-2022 18:16","Mumbai","426","COUNTERFEITING","73","F","Poison","Other Crime","18","No",""
"5299","24-01-2022 15:00","01-22-2022 23:00","23-01-2022 19:06","Mumbai","189","VANDALISM","75","F","Blunt Object","Other Crime","4","No",""
"5322","26-01-2022 09:00","01-24-2022 17:00","25-01-2022 07:36","Mumbai","403","COUNTERFEITING","64","F","None","Other Crime","8","Yes","21-02-2022 09:00"
"5323","26-01-2022 09:00","01-23-2022 19:00","24-01-2022 00:40","Mumbai","540","ILLEGAL POSSESSION","74","F","Knife","Other Crime","2","No",""
"5342","27-01-2022 23:00","01-27-2022 09:00","27-01-2022 13:54","Mumbai","201","TRAFFIC VIOLATION","26","F","Blunt Object","Traffic Fatality","15","No",""
"5345","28-01-2022 10:00","01-27-2022 02:00","27-01-2022 22:22","Mumbai","183","KIDNAPPING","16","M","Blunt Object","Other Crime","16","No",""
"5352","28-01-2022 20:00","01-25-2022 23:00","26-01-2022 05:09","Mumbai","342","CYBERCRIME","24","M","Knife","Other Crime","17","Yes","27-04-2022 20:00"
"5357","29-01-2022 08:00","01-26-2022 21:00","27-01-2022 06:56","Mumbai","591","KIDNAPPING","55","M","Blunt Object","Other Crime","8","No",""
"5358","29-01-2022 09:00","01-28-2022 09:00","29-01-2022 08:05","Mumbai","318","ROBBERY","67","F","Poison","Violent Crime","5","Yes","01-04-2022 09:00"
"5372","30-01-2022 12:00","01-28-2022 20:00","29-01-2022 01:55","Mumbai","448","DRUG OFFENSE","20","M","Poison","Other Crime","11","No",""
